City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Inongo,CD,72.5,overcast clouds,-1.95,18.27,
106,Kruisfontein,ZA,64.0,clear sky,-34.0,24.73,
107,Mahebourg,MU,71.6,shower rain,-20.41,57.7,
108,Ribeira Grande,PT,66.2,scattered clouds,38.52,-28.7,
109,Yantzaza,EC,86.31,light rain,-3.83,-78.76,
115,Pasni,PK,77.31,clear sky,25.26,63.47,
118,Brigantine,US,73.4,broken clouds,39.41,-74.36,
119,Phonhong,LA,68.95,broken clouds,18.5,102.42,
120,Saint-Philippe,RE,71.6,clear sky,-21.36,55.77,
121,Bengkulu,ID,76.28,light rain,-3.8,102.27,
122,Chuy,UY,66.92,few clouds,-33.7,-53.46,
123,Ratnagiri,IN,76.68,scattered clouds,16.98,73.3,
125,Pisco,PE,66.2,clear sky,-13.7,-76.22,
127,Shenjiamen,CN,60.22,clear sky,29.96,122.3,
132,Vao,NC,73.04,broken clouds,-22.67,167.48,
133,Banepa,NP,59.0,few clouds,27.63,85.52,
137,Georgetown,MY,77.0,scattered clouds,5.41,100.34,
138,Vanimo,PG,78.94,light rain,-2.67,141.3,
139,Sterling,US,69.01,overcast clouds,39.01,-77.43,
145,Castro,BR,67.93,light rain,-24.79,-50.01,
146,Cururupu,BR,79.41,few clouds,-1.83,-44.87,
147,Athens,GR,68.0,clear sky,37.98,23.72,
151,Marrakesh,MA,66.2,clear sky,31.63,-8.01,
152,Salaverry,PE,66.2,clear sky,-8.23,-78.97,
155,San Antonio,US,71.01,scattered clouds,29.42,-98.49,
159,Magdiwang,PH,81.73,moderate rain,12.49,122.51,
160,Kavieng,PG,83.12,overcast clouds,-2.57,150.8,
162,Buba,GW,78.76,few clouds,11.58,-15.0,
163,Guymon,US,69.8,clear sky,36.68,-101.48,
164,Levelland,US,70.0,scattered clouds,33.59,-102.38,
165,Laharpur,IN,68.41,clear sky,27.72,80.9,
166,Saint-Leu,RE,71.6,clear sky,-21.15,55.28,
167,Hilo,US,80.6,overcast clouds,19.73,-155.09,
168,Anori,BR,79.79,moderate rain,-3.77,-61.64,
170,Iralaya,HN,79.41,overcast clouds,15.0,-83.23,
173,Tiarei,PF,84.2,broken clouds,-17.53,-149.33,
174,Bathsheba,BB,84.2,shower rain,13.22,-59.52,
176,George Town,MY,77.0,scattered clouds,5.41,100.34,
179,Gigmoto,PH,81.12,moderate rain,13.78,124.39,
185,Sao Filipe,CV,81.39,overcast clouds,14.9,-24.5,
187,Harper,LR,78.06,overcast clouds,4.38,-7.72,
188,Pizarro,CO,77.54,light rain,4.95,-77.37,
190,Maralal,KE,63.05,broken clouds,1.1,36.7,
191,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,
192,Vendome,FR,59.0,overcast clouds,47.8,1.07,
194,San Patricio,US,73.99,broken clouds,28.02,-97.52,
196,Iquique,CL,64.4,overcast clouds,-20.22,-70.14,
200,Arlit,NE,81.63,clear sky,18.74,7.39,
201,Balabac,PH,81.27,light rain,7.99,117.06,
203,Sola,VU,84.2,broken clouds,-13.88,167.55,
204,Grand Gaube,MU,69.01,moderate rain,-20.01,57.66,
206,Te Anau,NZ,59.52,overcast clouds,-45.42,167.72,
207,Kollam,IN,80.6,mist,8.88,76.6,
209,Poum,NC,77.45,clear sky,-20.23,164.02,
210,Bukama,CD,76.95,scattered clouds,-9.2,25.85,
211,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,
212,Totness,SR,82.85,overcast clouds,5.88,-56.32,
214,Mayo,US,72.0,overcast clouds,38.89,-76.51,
215,Diu,IN,79.63,scattered clouds,20.71,70.98,
218,Agadez,NE,73.08,clear sky,19.75,10.25,
219,Rawson,AR,64.69,broken clouds,-43.3,-65.1,
220,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,
221,Katsuura,JP,57.2,scattered clouds,35.13,140.3,
223,Bani Walid,LY,64.76,clear sky,31.76,13.99,
227,Raisen,IN,70.38,clear sky,23.33,77.8,
228,Kismayo,SO,79.68,overcast clouds,-0.36,42.55,
229,Bilma,NE,74.26,clear sky,18.69,12.92,
232,Oyama,JP,57.99,fog,36.3,139.8,
235,Dillon,US,82.0,broken clouds,34.42,-79.37,
236,Guerrero Negro,MX,73.22,few clouds,27.98,-114.06,
237,Gamba,GA,77.07,light rain,-2.65,10.0,
240,Caravelas,BR,75.42,heavy intensity rain,-17.71,-39.25,
242,Kulhudhuffushi,MV,82.38,light rain,6.62,73.07,
243,Miri,MY,77.0,scattered clouds,4.41,114.01,
244,Aljezur,PT,59.5,scattered clouds,37.32,-8.8,
245,Charlestown,AU,61.0,moderate rain,-32.95,151.67,
246,Iracoubo,GF,83.03,light rain,5.48,-53.2,
248,Yeppoon,AU,71.6,overcast clouds,-23.13,150.73,
251,Victoria,HK,75.0,overcast clouds,22.29,114.16,
252,Ouadda,CF,70.52,overcast clouds,8.08,22.4,
253,Madison,US,59.0,overcast clouds,34.73,-86.57,
254,Saint George,US,80.01,clear sky,37.1,-113.58,
255,Gat,IL,78.8,scattered clouds,31.61,34.76,
259,Shwebo,MM,74.57,overcast clouds,22.57,95.7,
260,Celestun,MX,83.23,broken clouds,20.87,-90.4,
