City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Manbij,SY,2020-10-24 21:33:07,36.53,37.95,60.8,38,75,3.24
188,Port Hedland,AU,2020-10-24 21:33:07,-20.32,118.57,69.8,83,0,9.17
189,Poum,NC,2020-10-24 21:33:08,-20.23,164.02,77.95,78,0,18.68
190,Corbelia,BR,2020-10-24 21:33:08,-24.8,-53.31,71.82,73,14,11.7
191,Macau,MO,2020-10-24 21:33:09,22.2,113.55,75.2,73,20,11.41
192,Lar,IN,2020-10-24 21:33:09,26.2,83.97,69.75,43,0,3.11
193,Bilibino,RU,2020-10-24 21:33:09,68.05,166.44,17.78,87,0,2.13
194,Husavik,IS,2020-10-24 21:33:10,66.04,-17.34,41.0,75,90,19.46
195,Okato,NZ,2020-10-24 21:33:10,-39.2,173.88,57.0,96,70,7.0
196,Tucurui,BR,2020-10-24 21:33:10,-3.77,-49.67,86.0,49,89,1.05
197,Georgetown,MY,2020-10-24 21:30:50,5.41,100.34,78.8,88,20,3.36
198,Broome,US,2020-10-24 21:33:11,42.25,-75.83,46.99,70,90,11.41
199,Mount Gambier,AU,2020-10-24 21:33:12,-37.83,140.77,46.4,75,75,9.17
200,Vestmannaeyjar,IS,2020-10-24 21:33:12,63.44,-20.27,46.31,62,82,26.46
201,Charters Towers,AU,2020-10-24 21:33:12,-20.1,146.27,77.56,62,0,6.73
202,Oistins,BB,2020-10-24 21:31:09,13.07,-59.53,84.2,70,40,20.8
203,Marysville,US,2020-10-24 21:29:47,48.05,-122.18,51.01,61,90,10.29
204,Lhokseumawe,ID,2020-10-24 21:32:30,5.18,97.15,76.78,88,100,6.96
205,Ishigaki,JP,2020-10-24 21:32:18,24.34,124.16,73.4,69,20,18.34
206,Sola,VU,2020-10-24 21:28:24,-13.88,167.55,84.2,79,75,5.82
207,Mujiayingzi,CN,2020-10-24 21:33:14,42.12,118.78,41.27,58,100,5.23
208,Magadi,IN,2020-10-24 21:33:15,12.97,77.23,71.6,83,75,2.24
209,Turayf,SA,2020-10-24 21:33:15,31.67,38.66,64.4,25,0,10.29
210,Aguas Belas,BR,2020-10-24 21:33:16,-9.11,-37.12,76.08,65,45,13.18
211,Novobataysk,RU,2020-10-24 21:33:16,46.9,39.78,60.8,87,40,8.95
212,Cabo San Lucas,MX,2020-10-24 21:33:17,22.89,-109.91,90.0,58,20,9.17
213,Poopo,BO,2020-10-24 21:33:17,-18.37,-66.97,60.67,27,0,7.02
214,Lagoa,PT,2020-10-24 21:32:43,39.05,-27.98,65.88,78,87,18.45
215,Cumra,TR,2020-10-24 21:33:18,37.57,32.77,53.6,46,0,2.95
216,Lian,PH,2020-10-24 21:33:18,14.04,120.65,77.0,100,75,2.24
217,Mahebourg,MU,2020-10-24 21:33:19,-20.41,57.7,71.6,88,75,12.75
218,Ambilobe,MG,2020-10-24 21:33:19,-13.2,49.05,72.23,77,5,4.41
219,Camacha,PT,2020-10-24 21:33:19,33.08,-16.33,64.4,72,20,2.24
220,Grand Island,US,2020-10-24 21:33:20,40.92,-98.34,33.8,59,90,13.87
221,Turkistan,KZ,2020-10-24 21:33:20,43.0,68.0,31.14,90,0,0.36
222,Nador,MA,2020-10-24 21:33:21,35.17,-2.93,62.6,72,0,3.53
223,Mizdah,LY,2020-10-24 21:33:21,31.45,12.98,64.2,45,23,8.93
224,Luderitz,NA,2020-10-24 21:33:21,-26.65,15.16,61.23,74,17,16.02
225,Shelburne,CA,2020-10-24 21:32:30,44.08,-80.2,39.99,80,90,8.05
226,Iskateley,RU,2020-10-24 21:33:22,67.68,53.15,17.13,94,81,12.88
